Age Group,Gender,Occupation,Monthly Income,City Tier,Alcohol Consumption Frequency,Preferred Alcohol Types,Likelihood to Try New Cocktail,Purchase Channel,Preferred Consumption Setting,Interested Cocktail Flavours,Preferred Packaging,Preferred Pack Size,Interest in Mixed Flavour Packs,Ranking of Purchase Factors,Importance of Sustainability,Prefers Social Media Brands,Willingness to Pay (per unit),Likelihood to Recommend,Challenges in Choosing Cocktails,Buys on Bundle Deal,Willing to Switch Brand,Likelihood to Buy for Group Events,Would Join Loyalty Program,Preferred Channel (for purchase)
25-34,Female,Working Professional,"50,000–1,00,000",Metro,Rarely,"Beer,Cocktails,Vodka",Likely,Bar,Outdoors,Mint,Glass bottle,Pack of 2,Slightly interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Yes,₹200–₹300,Unlikely,High price,Yes,Yes,Often,Yes,Retail shop
25-34,Male,Student,">1,00,000",Tier 3/Rural,Occasionally,"Whiskey,Beer,Vodka",Neutral,Bar,Social gatherings,"Mango,Coffee",Glass bottle,Pack of 12,Neutral,"Price,Brand,Flavour variety,Packaging,Social cause",Highly,Yes,>₹300,Likely,Poor packaging,Maybe,No,Occasionally,Yes,Retail shop
35-44,Male,Working Professional,">1,00,000",Tier 2,Rarely,Whiskey,Unlikely,Bar,Social gatherings,Orange,Glass bottle,Pack of 2,Slightly interested,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Doesn’t matter,₹200–₹300,Very likely,"Health concerns,Poor packaging,Limited flavour options",Yes,No,Often,No,Retail shop
55+,Female,Working Professional,"20,000–50,000",Metro,Never,Gin,Unlikely,Retail shop,At home,"Coffee,Pineapple,Berry",Can,Pack of 2,Interested,"Flavour variety,Price,Brand,Social cause,Packaging",Slightly,Yes,₹100–₹200,Neutral,"Health concerns,Not enough information/branding,Lack of availability",Maybe,Maybe,Occasionally,No,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Frequently,"Beer,Whiskey,Vodka",Unlikely,Restaurant,Outdoors,Litchi,Can,Pack of 12,Neutral,"Brand,Flavour variety,Price,Packaging,Social cause",Slightly,Doesn’t matter,₹200–₹300,Neutral,"Other,High price,Lack of availability",Yes,Yes,Often,No,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Other,Whiskey",Likely,Online,At home,Pineapple,Can,Pack of 12,Neutral,"Price,Flavour variety,Brand,Social cause,Packaging",Highly,Yes,<₹100,Very likely,Poor packaging,Yes,Maybe,Often,No,Retail shop
18-24,Male,Other,"20,000–50,000",Metro,Frequently,Cocktails,Likely,Online,At home,Litchi,Can,Pack of 12,Very interested,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Yes,₹100–₹200,Very likely,Lack of availability,Yes,Yes,Often,Yes,Retail shop
35-44,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Vodka,Rum,Whiskey",Unlikely,Restaurant,At home,"Guava,Classic,Orange",No preference,Pack of 6,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Likely,Lack of availability,Maybe,Yes,Always,Yes,Retail shop
55+,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Never,"Whiskey,Beer,Rum",Neutral,Retail shop,Restaurants,Classic,Glass bottle,Pack of 2,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Likely,"Not enough information/branding,High price,Health concerns",Maybe,Maybe,Always,Yes,Retail shop
35-44,Female,Entrepreneur,"20,000–50,000",Tier 1,Rarely,"Vodka,Beer,Whiskey",Likely,Restaurant,Social gatherings,"Mango,Mint,Orange",Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Highly,Yes,₹100–₹200,Likely,"Limited flavour options,Other,Not enough information/branding",Yes,Yes,Occasionally,No,Retail shop
25-34,Female,Student,">1,00,000",Tier 1,Rarely,"Beer,Cocktails",Likely,Retail shop,Bars/Pubs,Orange,Can,Pack of 2,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Not at all,Yes,<₹100,Very unlikely,"Health concerns,Not enough information/branding",Yes,Yes,Often,Yes,Retail shop
25-34,Female,Student,"20,000–50,000",Tier 2,Occasionally,"Cocktails,Vodka,Beer",Unlikely,Retail shop,At home,"Berry,Classic",Can,Pack of 6,Interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,Doesn’t matter,₹200–₹300,Likely,High price,Yes,Yes,Occasionally,Yes,Retail shop
25-34,Female,Working Professional,"20,000–50,000",Tier 1,Occasionally,Whiskey,Very likely,Bar,Social gatherings,"Classic,Pineapple,Orange",Can,Pack of 6,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Doesn’t matter,₹200–₹300,Neutral,"Not enough information/branding,High price",Yes,Yes,Often,Yes,Retail shop
55+,Female,Working Professional,">1,00,000",Tier 2,Occasionally,"Whiskey,Beer",Unlikely,Retail shop,Social gatherings,"Guava,Classic",Can,Pack of 2,Very interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,No,>₹300,Neutral,Limited flavour options,Yes,Maybe,Often,Yes,Bar
35-44,Female,Student,"<20,000",Tier 3/Rural,Occasionally,Whiskey,Likely,Duty-free,Outdoors,"Lime,Orange",Glass bottle,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Moderately,No,₹100–₹200,Neutral,Lack of availability,Maybe,Maybe,Often,No,Online
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Frequently,Vodka,Neutral,Bar,Outdoors,"Classic,Guava",Can,Pack of 2,Slightly interested,"Brand,Flavour variety,Price,Social cause,Packaging",Moderately,Doesn’t matter,₹200–₹300,Very likely,Limited flavour options,Yes,Maybe,Always,Yes,Retail shop
25-34,Male,Working Professional,"<20,000",Tier 3/Rural,Frequently,"Gin,Whiskey",Neutral,Online,Bars/Pubs,"Guava,Classic",No preference,Pack of 24,Interested,"Flavour variety,Price,Brand,Packaging,Social cause",Not at all,Doesn’t matter,₹200–₹300,Neutral,"Poor packaging,Not enough information/branding,Other",Yes,Maybe,Occasionally,No,Retail shop
18-24,Male,Student,"50,000–1,00,000",Tier 1,Occasionally,"Cocktails,Vodka",Likely,Retail shop,Social gatherings,Guava,Glass bottle,Pack of 6,Slightly interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Yes,₹100–₹200,Very unlikely,"Poor packaging,Health concerns,High price",Maybe,Maybe,Occasionally,No,Retail shop
35-44,Female,Entrepreneur,">1,00,000",Tier 2,Frequently,"Vodka,Whiskey",Unlikely,Retail shop,Social gatherings,"Pineapple,Classic,Litchi",Can,Pack of 12,Interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Yes,₹100–₹200,Very likely,Poor packaging,Yes,No,Occasionally,Yes,Bar
18-24,Female,Working Professional,"20,000–50,000",Tier 3/Rural,Occasionally,"Vodka,Beer",Neutral,Bar,At home,Litchi,Glass bottle,Pack of 2,Not interested,"Brand,Flavour variety,Price,Packaging,Social cause",Extremely,Yes,₹100–₹200,Neutral,"Limited flavour options,Poor packaging,Not enough information/branding",Yes,Yes,Occasionally,Yes,Restaurant
55+,Male,Homemaker,"20,000–50,000",Tier 2,Occasionally,"Gin,Beer",Unlikely,Bar,Bars/Pubs,"Coffee,Lime,Mango",No preference,Pack of 6,Neutral,"Flavour variety,Brand,Price,Social cause,Packaging",Slightly,No,>₹300,Unlikely,"Lack of availability,High price,Poor packaging",Yes,No,Occasionally,No,Online
25-34,Male,Working Professional,"50,000–1,00,000",Tier 2,Rarely,"Whiskey,Cocktails",Very unlikely,Pub,Social gatherings,"Pineapple,Coffee,Mango",No preference,Pack of 2,Very interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,<₹100,Neutral,Other,Maybe,Maybe,Occasionally,Yes,Online
25-34,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Whiskey,Beer,Rum",Neutral,Retail shop,At home,Pineapple,Can,Pack of 2,Neutral,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Yes,₹200–₹300,Unlikely,Limited flavour options,Yes,Yes,Occasionally,No,Online
35-44,Male,Homemaker,">1,00,000",Metro,Occasionally,"Cocktails,Gin,Beer",Likely,Online,Restaurants,Mint,No preference,Pack of 2,Slightly interested,"Price,Brand,Flavour variety,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Very likely,"Poor packaging,High price",Yes,Yes,Often,Yes,Retail shop
25-34,Female,Working Professional,"<20,000",Tier 3/Rural,Occasionally,Whiskey,Unlikely,Online,Bars/Pubs,Pineapple,No preference,Pack of 12,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,Poor packaging,Maybe,Yes,Often,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Vodka,Gin",Likely,Online,Outdoors,"Orange,Guava",Glass bottle,Pack of 6,Interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,Doesn’t matter,<₹100,Very likely,"Health concerns,Lack of availability",No,Maybe,Often,Yes,Retail shop
35-44,Female,Homemaker,"20,000–50,000",Metro,Frequently,"Rum,Beer,Cocktails",Very likely,Retail shop,Social gatherings,"Orange,Mango",Glass bottle,Pack of 12,Not interested,"Flavour variety,Brand,Price,Social cause,Packaging",Moderately,Doesn’t matter,>₹300,Likely,Poor packaging,Maybe,No,Never,No,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Metro,Rarely,"Whiskey,Other",Neutral,Retail shop,Restaurants,"Pineapple,Guava",Glass bottle,Pack of 6,Neutral,"Flavour variety,Price,Brand,Packaging,Social cause",Extremely,Yes,₹100–₹200,Very unlikely,Poor packaging,No,Yes,Often,Yes,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Beer,Vodka,Whiskey",Very unlikely,Pub,Bars/Pubs,"Berry,Mango",Glass bottle,Pack of 6,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Moderately,No,>₹300,Likely,"Not enough information/branding,Other,Poor packaging",Maybe,Maybe,Always,Yes,Retail shop
25-34,Female,Entrepreneur,"<20,000",Tier 3/Rural,Occasionally,"Gin,Cocktails,Vodka",Neutral,Online,Social gatherings,"Mango,Mint,Orange",Can,Pack of 6,Very interested,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Yes,>₹300,Likely,Health concerns,Maybe,Yes,Never,Yes,Retail shop
18-24,Female,Other,"20,000–50,000",Metro,Rarely,"Beer,Cocktails,Vodka",Neutral,Retail shop,Bars/Pubs,"Mint,Guava,Mango",Glass bottle,Pack of 24,Very interested,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Yes,>₹300,Likely,High price,Yes,Yes,Occasionally,No,Bar
25-34,Male,Working Professional,"50,000–1,00,000",Metro,Occasionally,"Whiskey,Vodka,Cocktails",Likely,Pub,At home,"Litchi,Berry,Mango",Can,Pack of 6,Neutral,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,Yes,>₹300,Very likely,Lack of availability,Yes,Yes,Occasionally,Yes,Other
25-34,Female,Homemaker,"50,000–1,00,000",Tier 2,Occasionally,Beer,Very likely,Retail shop,Bars/Pubs,"Lime,Berry",No preference,Pack of 24,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Extremely,Yes,₹200–₹300,Very likely,"Limited flavour options,Lack of availability",Maybe,Yes,Often,Yes,Restaurant
25-34,Female,Entrepreneur,"20,000–50,000",Tier 3/Rural,Never,"Vodka,Beer",Unlikely,Bar,Bars/Pubs,"Litchi,Lime,Mango",Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Moderately,No,>₹300,Likely,"Poor packaging,Other,Limited flavour options",Yes,Yes,Always,Yes,Bar
18-24,Male,Working Professional,"20,000–50,000",Tier 1,Rarely,"Whiskey,Gin,Beer",Neutral,Restaurant,Restaurants,Lime,Can,Pack of 6,Very interested,"Flavour variety,Price,Brand,Social cause,Packaging",Moderately,Doesn’t matter,₹100–₹200,Very likely,"Not enough information/branding,Limited flavour options,Poor packaging",Maybe,Maybe,Occasionally,No,Retail shop
45-54,Female,Working Professional,"20,000–50,000",Metro,Rarely,"Beer,Rum",Neutral,Bar,Outdoors,Coffee,No preference,Pack of 24,Slightly interested,"Brand,Price,Flavour variety,Packaging,Social cause",Moderately,Doesn’t matter,>₹300,Likely,Lack of availability,Maybe,Yes,Always,No,Retail shop
25-34,Male,Entrepreneur,"<20,000",Metro,Frequently,Gin,Neutral,Pub,At home,"Lime,Mango",Can,Pack of 24,Not interested,"Flavour variety,Brand,Price,Social cause,Packaging",Not at all,Doesn’t matter,₹100–₹200,Very likely,"Lack of availability,Poor packaging",Maybe,Maybe,Often,No,Retail shop
25-34,Male,Homemaker,"<20,000",Tier 2,Rarely,"Cocktails,Whiskey",Very likely,Bar,Restaurants,Guava,No preference,Pack of 2,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Not at all,Yes,₹200–₹300,Very likely,Lack of availability,Yes,No,Often,No,Bar
55+,Male,Working Professional,">1,00,000",Metro,Frequently,"Vodka,Beer,Whiskey",Likely,Bar,Social gatherings,"Orange,Berry,Mango",No preference,Pack of 24,Very interested,"Flavour variety,Price,Brand,Packaging,Social cause",Highly,Yes,<₹100,Neutral,"Poor packaging,Not enough information/branding",No,Yes,Occasionally,No,Retail shop
35-44,Female,Working Professional,"<20,000",Tier 2,Occasionally,Beer,Very likely,Pub,Social gatherings,"Classic,Orange,Berry",Glass bottle,Pack of 6,Very interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Very likely,"Not enough information/branding,Lack of availability",Yes,Yes,Occasionally,Yes,Bar
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Frequently,"Beer,Whiskey",Very unlikely,Retail shop,Bars/Pubs,"Guava,Pineapple,Mango",Can,Pack of 6,Interested,"Price,Flavour variety,Brand,Social cause,Packaging",Slightly,No,₹200–₹300,Neutral,"Other,Not enough information/branding",No,Maybe,Always,No,Online
18-24,Female,Student,"20,000–50,000",Metro,Occasionally,Rum,Very likely,Bar,Social gatherings,"Coffee,Mango",No preference,Pack of 6,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,₹100–₹200,Neutral,Limited flavour options,No,No,Never,No,Bar
45-54,Female,Entrepreneur,"20,000–50,000",Tier 3/Rural,Rarely,Cocktails,Likely,Online,Social gatherings,"Berry,Pineapple,Lime",Glass bottle,Pack of 2,Slightly interested,"Flavour variety,Brand,Price,Social cause,Packaging",Highly,Yes,₹100–₹200,Likely,"Health concerns,Poor packaging,Limited flavour options",Yes,Yes,Often,Yes,Retail shop
25-34,Male,Working Professional,"20,000–50,000",Tier 3/Rural,Rarely,"Cocktails,Whiskey,Rum",Likely,Retail shop,Restaurants,"Pineapple,Berry",Can,Pack of 2,Neutral,"Brand,Price,Flavour variety,Packaging,Social cause",Highly,Doesn’t matter,>₹300,Neutral,"High price,Poor packaging,Health concerns",Yes,Maybe,Occasionally,No,Retail shop
25-34,Male,Working Professional,"<20,000",Tier 1,Occasionally,"Vodka,Beer,Rum",Neutral,Retail shop,Restaurants,"Mango,Berry",Can,Pack of 6,Slightly interested,"Flavour variety,Price,Brand,Packaging,Social cause",Not at all,Yes,₹100–₹200,Neutral,"Health concerns,Poor packaging,High price",No,No,Occasionally,Yes,Bar
25-34,Female,Entrepreneur,"20,000–50,000",Tier 3/Rural,Rarely,"Beer,Whiskey",Likely,Duty-free,At home,"Mango,Pineapple",No preference,Pack of 6,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Moderately,No,₹200–₹300,Very unlikely,High price,Maybe,No,Occasionally,Yes,Retail shop
18-24,Male,Homemaker,"50,000–1,00,000",Metro,Rarely,Gin,Unlikely,Pub,Outdoors,"Guava,Lime,Classic",Glass bottle,Pack of 2,Slightly interested,"Price,Brand,Flavour variety,Social cause,Packaging",Highly,Yes,>₹300,Likely,"Not enough information/branding,High price",No,Yes,Often,Yes,Retail shop
55+,Male,Entrepreneur,"50,000–1,00,000",Tier 1,Occasionally,Cocktails,Neutral,Restaurant,Bars/Pubs,Mint,Can,Pack of 12,Neutral,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,Doesn’t matter,₹100–₹200,Likely,Lack of availability,No,Yes,Often,No,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 1,Occasionally,Cocktails,Very likely,Duty-free,Restaurants,"Mango,Guava,Pineapple",Glass bottle,Pack of 6,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Doesn’t matter,<₹100,Neutral,Limited flavour options,No,Maybe,Occasionally,No,Bar
18-24,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Whiskey,Vodka,Rum",Neutral,Retail shop,At home,"Guava,Lime",Glass bottle,Pack of 6,Interested,"Brand,Flavour variety,Price,Social cause,Packaging",Slightly,Doesn’t matter,₹100–₹200,Very likely,"Lack of availability,Limited flavour options,Other",No,Maybe,Always,Yes,Retail shop
35-44,Female,Working Professional,"20,000–50,000",Tier 2,Rarely,Rum,Neutral,Retail shop,At home,"Berry,Pineapple",Can,Pack of 2,Interested,"Brand,Price,Flavour variety,Social cause,Packaging",Moderately,Yes,₹100–₹200,Neutral,"High price,Lack of availability",Yes,No,Never,Yes,Retail shop
25-34,Male,Working Professional,"<20,000",Tier 1,Occasionally,"Vodka,Whiskey,Cocktails",Likely,Pub,Bars/Pubs,"Berry,Orange",Glass bottle,Pack of 6,Interested,"Flavour variety,Brand,Price,Packaging,Social cause",Not at all,Doesn’t matter,₹100–₹200,Likely,"Health concerns,Lack of availability,High price",Yes,No,Always,No,Retail shop
18-24,Male,Homemaker,"20,000–50,000",Tier 2,Rarely,"Whiskey,Beer",Neutral,Retail shop,Social gatherings,"Lime,Mint,Classic",Glass bottle,Pack of 6,Slightly interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,Yes,₹200–₹300,Unlikely,High price,Maybe,Maybe,Often,Yes,Retail shop
18-24,Male,Working Professional,"20,000–50,000",Metro,Occasionally,"Rum,Beer,Cocktails",Very likely,Pub,Restaurants,"Berry,Orange,Pineapple",Glass bottle,Pack of 6,Interested,"Price,Brand,Flavour variety,Packaging,Social cause",Extremely,Doesn’t matter,₹200–₹300,Neutral,Limited flavour options,Yes,Yes,Often,Yes,Other
18-24,Female,Homemaker,"20,000–50,000",Tier 2,Occasionally,"Beer,Whiskey,Vodka",Neutral,Bar,At home,"Mango,Classic,Pineapple",No preference,Pack of 6,Neutral,"Price,Brand,Flavour variety,Packaging,Social cause",Slightly,Doesn’t matter,<₹100,Very unlikely,"Lack of availability,High price",Yes,No,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"<20,000",Tier 2,Rarely,"Beer,Gin,Vodka",Likely,Pub,At home,"Guava,Lime",No preference,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Slightly,Yes,₹100–₹200,Very likely,Not enough information/branding,Maybe,Yes,Occasionally,Yes,Bar
18-24,Male,Working Professional,"<20,000",Metro,Frequently,"Rum,Cocktails",Likely,Bar,Social gatherings,"Pineapple,Coffee",Glass bottle,Pack of 6,Slightly interested,"Price,Brand,Flavour variety,Social cause,Packaging",Moderately,No,₹100–₹200,Likely,Health concerns,Maybe,Maybe,Occasionally,No,Retail shop
18-24,Female,Working Professional,"50,000–1,00,000",Tier 2,Frequently,"Vodka,Beer",Likely,Pub,Bars/Pubs,Pineapple,Can,Pack of 2,Not interested,"Flavour variety,Price,Brand,Social cause,Packaging",Highly,Yes,<₹100,Likely,"High price,Poor packaging,Other",Maybe,Maybe,Often,Yes,Retail shop
18-24,Male,Student,"20,000–50,000",Tier 3/Rural,Occasionally,"Beer,Other,Vodka",Very unlikely,Pub,At home,"Mango,Classic",Can,Pack of 12,Neutral,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,No,₹200–₹300,Very likely,"Lack of availability,Limited flavour options,High price",Maybe,Yes,Occasionally,Yes,Retail shop
18-24,Male,Working Professional,"50,000–1,00,000",Tier 2,Rarely,Rum,Very likely,Online,Outdoors,"Guava,Lime,Pineapple",No preference,Pack of 12,Interested,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Yes,₹200–₹300,Likely,Limited flavour options,No,Yes,Always,Yes,Retail shop
35-44,Female,Working Professional,"<20,000",Metro,Rarely,"Vodka,Cocktails,Whiskey",Unlikely,Retail shop,Restaurants,"Lime,Coffee",Glass bottle,Pack of 2,Very interested,"Brand,Price,Flavour variety,Social cause,Packaging",Highly,Doesn’t matter,₹200–₹300,Neutral,"High price,Not enough information/branding,Lack of availability",Yes,Maybe,Never,No,Retail shop
25-34,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Whiskey,Gin,Cocktails",Likely,Retail shop,Social gatherings,"Lime,Mango,Berry",Glass bottle,Pack of 12,Not interested,"Flavour variety,Price,Brand,Packaging,Social cause",Moderately,Doesn’t matter,<₹100,Neutral,Not enough information/branding,Yes,Yes,Often,No,Bar
18-24,Female,Working Professional,">1,00,000",Metro,Occasionally,Whiskey,Neutral,Bar,Bars/Pubs,"Guava,Orange",Glass bottle,Pack of 12,Interested,"Brand,Flavour variety,Price,Packaging,Social cause",Highly,No,₹200–₹300,Likely,Limited flavour options,Yes,Maybe,Occasionally,Yes,Retail shop
25-34,Male,Student,"50,000–1,00,000",Metro,Occasionally,"Whiskey,Cocktails,Beer",Neutral,Online,Restaurants,"Guava,Mint,Pineapple",Can,Pack of 2,Not interested,"Flavour variety,Price,Brand,Packaging,Social cause",Extremely,Doesn’t matter,<₹100,Unlikely,High price,Yes,Yes,Always,Yes,Bar
18-24,Male,Working Professional,"50,000–1,00,000",Tier 3/Rural,Occasionally,"Whiskey,Rum,Beer",Unlikely,Online,At home,"Berry,Litchi",Glass bottle,Pack of 12,Not interested,"Price,Flavour variety,Brand,Packaging,Social cause",Highly,Doesn’t matter,₹200–₹300,Very likely,"Limited flavour options,Poor packaging",Yes,Maybe,Always,Yes,Retail shop
